par	.y.	group1	group2	p	p.adj	p.format	p.signif	method	y
auc_e	value	Control	Linagliptin	0.0781229174053874	0.21	0.07812	ns	T-test	3
auc_e	value	Control	Pitavastatin	0.0791911376225585	0.21	0.07919	ns	T-test	3
auc_e	value	Control	Ranitidine	0.758127741067716	0.76	0.75813	ns	T-test	3
auc_e	value	Control	Saxagliptin	0.355413648061926	0.43	0.35541	ns	T-test	3
auc_e	value	Control	Atorvastatin	0.0363900207572317	0.13	0.03639	*	T-test	2
auc_e	value	Control	Bendroflumethiazide	0.089123889621669	0.21	0.08912	ns	T-test	2
auc_e	value	Control	Didanosine	0.00221580810950107	0.016	0.00222	**	T-test	2
auc_e	value	Control	Empagliflozin	0.444345360738442	0.47	0.44435	ns	T-test	2
auc_e	value	Control	Estradiol	0.393473105139411	0.43	0.39347	ns	T-test	2
auc_e	value	Control	Guanidine	0.0188746986630432	0.099	0.01887	*	T-test	2
auc_e	value	Control	Pyrimethamine	0.000122632880913188	0.0026	0.00012	***	T-test	2
auc_e	value	Control	Cladribine	0.364680425256597	0.43	0.36468	ns	T-test	1
auc_e	value	Control	Lacosamide	0.299963866890871	0.42	0.29996	ns	T-test	1
auc_e	value	Control	Leflunomide	0.00199738943894299	0.016	0.00200	**	T-test	1
auc_e	value	Control	Metformin	0.171726494748178	0.3	0.17173	ns	T-test	1
auc_e	value	Control	Rivastigmine	0.118569306574877	0.25	0.11857	ns	T-test	1
auc_e	value	Control	Rosuvastatin	0.189479167885213	0.31	0.18948	ns	T-test	1
auc_e	value	Control	Trifluridine	0.352467750354701	0.43	0.35247	ns	T-test	1
t_mid	value	Control	Acarbose	0.0450373864260717	0.18	0.0450	*	T-test	3
t_mid	value	Control	Dutasteride	0.0259438727977993	0.16	0.0259	*	T-test	3
t_mid	value	Control	Levamlodipine	0.481332618667895	0.62	0.4813	ns	T-test	3
t_mid	value	Control	Linagliptin	0.292060181962911	0.47	0.2921	ns	T-test	3
t_mid	value	Control	Pitavastatin	0.205237354410137	0.45	0.2052	ns	T-test	3
t_mid	value	Control	Ranitidine	0.831198129196613	0.83	0.8312	ns	T-test	3
t_mid	value	Control	Saxagliptin	0.215699807175205	0.45	0.2157	ns	T-test	3
t_mid	value	Control	Atorvastatin	0.125783280894916	0.36	0.1258	ns	T-test	2
t_mid	value	Control	Bendroflumethiazide	0.31416952862558	0.47	0.3142	ns	T-test	2
t_mid	value	Control	Didanosine	0.503521847459092	0.62	0.5035	ns	T-test	2
t_mid	value	Control	Empagliflozin	0.448723330871652	0.62	0.4487	ns	T-test	2
t_mid	value	Control	Estradiol	0.618929680980964	0.68	0.6189	ns	T-test	2
t_mid	value	Control	Guanidine	0.616026471333813	0.68	0.6160	ns	T-test	2
t_mid	value	Control	Pyrimethamine	0.299212042621301	0.47	0.2992	ns	T-test	2
t_mid	value	Control	Cladribine	0.296807769721897	0.47	0.2968	ns	T-test	1
t_mid	value	Control	Lacosamide	0.135889897049712	0.36	0.1359	ns	T-test	1
t_mid	value	Control	Leflunomide	0.00179112215366522	0.038	0.0018	**	T-test	1
t_mid	value	Control	Metformin	0.0236932824161453	0.16	0.0237	*	T-test	1
t_mid	value	Control	Rivastigmine	0.0296575731287635	0.16	0.0297	*	T-test	1
t_mid	value	Control	Rosuvastatin	0.783581906748394	0.82	0.7836	ns	T-test	1
t_mid	value	Control	Trifluridine	0.0523383121995312	0.18	0.0523	ns	T-test	1
