DrugID	drugname	code	level	l1	l2	l3	l4
DB00983	Formoterol	R03AL09	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00983	Formoterol	R03AL05	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00983	Formoterol	R03AK09	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics
DB00983	Formoterol	R03AL10	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00983	Formoterol	R03AL11	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00983	Formoterol	R03AL07	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00983	Formoterol	R03AK08	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics
DB00983	Formoterol	R03AC13	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;selective beta-2-adrenoreceptor agonists	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	selective beta-2-adrenoreceptor agonists
DB00983	Formoterol	R03AK07	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics
DB00983	Formoterol	R03AK11	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics
DB00984	Nandrolone phenpropionate	NA	NA	NA	NA	NA	NA
DB00985	Dimenhydrinate	NA	NA	NA	NA	NA	NA
DB00986	Glycopyrronium	R03AL09	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00986	Glycopyrronium	R03AL04	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00986	Glycopyrronium	R03BB06	respiratory system;drugs for obstructive airway diseases;other drugs for obstructive airway diseases, inhalants;anticholinergics	respiratory system	drugs for obstructive airway diseases	other drugs for obstructive airway diseases, inhalants	anticholinergics
DB00986	Glycopyrronium	D11AA01	dermatologicals;other dermatological preparations;other dermatological preparations;antihidrotics	dermatologicals	other dermatological preparations	other dermatological preparations	antihidrotics
DB00986	Glycopyrronium	A03AB02	alimentary tract and metabolism;drugs for functional gastrointestinal disorders;drugs for functional gastrointestinal disorders;synthetic anticholinergics, quaternary ammonium compounds	alimentary tract and metabolism	drugs for functional gastrointestinal disorders	drugs for functional gastrointestinal disorders	synthetic anticholinergics, quaternary ammonium compounds
DB00986	Glycopyrronium	R03AL11	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00986	Glycopyrronium	R03AL07	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00986	Glycopyrronium	A03CA05	alimentary tract and metabolism;drugs for functional gastrointestinal disorders;antispasmodics in combination with psycholeptics;synthetic anticholinergic agents in combination with psycholeptics	alimentary tract and metabolism	drugs for functional gastrointestinal disorders	antispasmodics in combination with psycholeptics	synthetic anticholinergic agents in combination with psycholeptics
DB00986	Glycopyrronium	R03AL12	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB00987	Cytarabine	L01BC01	antineoplastic and immunomodulating agents;antineoplastic agents;antimetabolites;pyrimidine analogues	antineoplastic and immunomodulating agents	antineoplastic agents	antimetabolites	pyrimidine analogues
DB00987	Cytarabine	L01XY01	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;combinations of antineoplastic agents	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	combinations of antineoplastic agents
DB00988	Dopamine	C01CA04	cardiovascular system;cardiac therapy;cardiac stimulants excl. cardiac glycosides;adrenergic and dopaminergic agents	cardiovascular system	cardiac therapy	cardiac stimulants excl. cardiac glycosides	adrenergic and dopaminergic agents
DB00989	Rivastigmine	N06DA03	nervous system;psychoanaleptics;anti-dementia drugs;anticholinesterases	nervous system	psychoanaleptics	anti-dementia drugs	anticholinesterases
DB00990	Exemestane	L02BG06	antineoplastic and immunomodulating agents;endocrine therapy;hormone antagonists and related agents;aromatase inhibitors	antineoplastic and immunomodulating agents	endocrine therapy	hormone antagonists and related agents	aromatase inhibitors
DB00991	Oxaprozin	M01AE12	musculo-skeletal system;antiinflammatory and antirheumatic products;antiinflammatory and antirheumatic products, non-steroids;propionic acid derivatives	musculo-skeletal system	antiinflammatory and antirheumatic products	antiinflammatory and antirheumatic products, non-steroids	propionic acid derivatives
DB00992	Methyl aminolevulinate	L01XD03	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;sensitizers used in photodynamic/radiation therapy	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	sensitizers used in photodynamic/radiation therapy
DB00993	Azathioprine	L04AX01	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;other immunosuppressants	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	other immunosuppressants
DB00994	Neomycin	A07AA51	alimentary tract and metabolism;antidiarrheals, intestinal antiinflammatory/antiinfective agents;intestinal antiinfectives;antibiotics	alimentary tract and metabolism	antidiarrheals, intestinal antiinflammatory/antiinfective agents	intestinal antiinfectives	antibiotics
DB00994	Neomycin	R02AB01	respiratory system;throat preparations;throat preparations;antibiotics	respiratory system	throat preparations	throat preparations	antibiotics
DB00994	Neomycin	J01GB05	antiinfectives for systemic use;antibacterials for systemic use;aminoglycoside antibacterials;other aminoglycosides	antiinfectives for systemic use	antibacterials for systemic use	aminoglycoside antibacterials	other aminoglycosides
DB00994	Neomycin	D06AX04	dermatologicals;antibiotics and chemotherapeutics for dermatological use;antibiotics for topical use;other antibiotics for topical use	dermatologicals	antibiotics and chemotherapeutics for dermatological use	antibiotics for topical use	other antibiotics for topical use
DB00994	Neomycin	S03AA01	sensory organs;ophthalmological and otological preparations;antiinfectives;antiinfectives	sensory organs	ophthalmological and otological preparations	antiinfectives	antiinfectives
DB00994	Neomycin	A01AB08	alimentary tract and metabolism;stomatological preparations;stomatological preparations;antiinfectives and antiseptics for local oral treatment	alimentary tract and metabolism	stomatological preparations	stomatological preparations	antiinfectives and antiseptics for local oral treatment
DB00994	Neomycin	A07AA01	alimentary tract and metabolism;antidiarrheals, intestinal antiinflammatory/antiinfective agents;intestinal antiinfectives;antibiotics	alimentary tract and metabolism	antidiarrheals, intestinal antiinflammatory/antiinfective agents	intestinal antiinfectives	antibiotics
DB00994	Neomycin	S02AA07	sensory organs;otologicals;antiinfectives;antiinfectives	sensory organs	otologicals	antiinfectives	antiinfectives
DB00994	Neomycin	B05CA09	blood and blood forming organs;blood substitutes and perfusion solutions;irrigating solutions;antiinfectives	blood and blood forming organs	blood substitutes and perfusion solutions	irrigating solutions	antiinfectives
DB00994	Neomycin	S01AA03	sensory organs;ophthalmologicals;antiinfectives;antibiotics	sensory organs	ophthalmologicals	antiinfectives	antibiotics
DB00995	Auranofin	M01CB03	musculo-skeletal system;antiinflammatory and antirheumatic products;specific antirheumatic agents;gold preparations	musculo-skeletal system	antiinflammatory and antirheumatic products	specific antirheumatic agents	gold preparations
DB00996	Gabapentin	N03AX12	nervous system;antiepileptics;antiepileptics;other antiepileptics	nervous system	antiepileptics	antiepileptics	other antiepileptics
DB00997	Doxorubicin	L01DB01	antineoplastic and immunomodulating agents;antineoplastic agents;cytotoxic antibiotics and related substances;anthracyclines and related substances	antineoplastic and immunomodulating agents	antineoplastic agents	cytotoxic antibiotics and related substances	anthracyclines and related substances
DB00998	Frovatriptan	N02CC07	nervous system;analgesics;antimigraine preparations;selective serotonin (5ht1) agonists	nervous system	analgesics	antimigraine preparations	selective serotonin (5ht1) agonists
DB00999	Hydrochlorothiazide	C09BX03	cardiovascular system;agents acting on the renin-angiotensin system;ace inhibitors, combinations;ace inhibitors, other combinations	cardiovascular system	agents acting on the renin-angiotensin system	ace inhibitors, combinations	ace inhibitors, other combinations
DB00999	Hydrochlorothiazide	C03AX01	cardiovascular system;diuretics;low-ceiling diuretics, thiazides;thiazides, combinations with other drugs	cardiovascular system	diuretics	low-ceiling diuretics, thiazides	thiazides, combinations with other drugs
DB00999	Hydrochlorothiazide	C03AB03	cardiovascular system;diuretics;low-ceiling diuretics, thiazides;thiazides and potassium in combination	cardiovascular system	diuretics	low-ceiling diuretics, thiazides	thiazides and potassium in combination
DB00999	Hydrochlorothiazide	C09DX03	cardiovascular system;agents acting on the renin-angiotensin system;angiotensin ii receptor blockers (arbs), combinations;angiotensin ii receptor blockers (arbs), other combinations	cardiovascular system	agents acting on the renin-angiotensin system	angiotensin ii receptor blockers (arbs), combinations	angiotensin ii receptor blockers (arbs), other combinations
DB00999	Hydrochlorothiazide	C03EA01	cardiovascular system;diuretics;diuretics and potassium-sparing agents in combination;low-ceiling diuretics and potassium-sparing agents	cardiovascular system	diuretics	diuretics and potassium-sparing agents in combination	low-ceiling diuretics and potassium-sparing agents
DB00999	Hydrochlorothiazide	C09DX06	cardiovascular system;agents acting on the renin-angiotensin system;angiotensin ii receptor blockers (arbs), combinations;angiotensin ii receptor blockers (arbs), other combinations	cardiovascular system	agents acting on the renin-angiotensin system	angiotensin ii receptor blockers (arbs), combinations	angiotensin ii receptor blockers (arbs), other combinations
DB00999	Hydrochlorothiazide	C09XA52	cardiovascular system;agents acting on the renin-angiotensin system;other agents acting on the renin-angiotensin system;renin-inhibitors	cardiovascular system	agents acting on the renin-angiotensin system	other agents acting on the renin-angiotensin system	renin-inhibitors
DB00999	Hydrochlorothiazide	G01AE10	genito urinary system and sex hormones;gynecological antiinfectives and antiseptics;antiinfectives and antiseptics, excl. combinations with corticosteroids;sulfonamides	genito urinary system and sex hormones	gynecological antiinfectives and antiseptics	antiinfectives and antiseptics, excl. combinations with corticosteroids	sulfonamides
DB00999	Hydrochlorothiazide	C09DX01	cardiovascular system;agents acting on the renin-angiotensin system;angiotensin ii receptor blockers (arbs), combinations;angiotensin ii receptor blockers (arbs), other combinations	cardiovascular system	agents acting on the renin-angiotensin system	angiotensin ii receptor blockers (arbs), combinations	angiotensin ii receptor blockers (arbs), other combinations
DB00999	Hydrochlorothiazide	C03AA03	cardiovascular system;diuretics;low-ceiling diuretics, thiazides;thiazides, plain	cardiovascular system	diuretics	low-ceiling diuretics, thiazides	thiazides, plain
DB00999	Hydrochlorothiazide	C09XA54	cardiovascular system;agents acting on the renin-angiotensin system;other agents acting on the renin-angiotensin system;renin-inhibitors	cardiovascular system	agents acting on the renin-angiotensin system	other agents acting on the renin-angiotensin system	renin-inhibitors
DB00999	Hydrochlorothiazide	C09DX07	cardiovascular system;agents acting on the renin-angiotensin system;angiotensin ii receptor blockers (arbs), combinations;angiotensin ii receptor blockers (arbs), other combinations	cardiovascular system	agents acting on the renin-angiotensin system	angiotensin ii receptor blockers (arbs), combinations	angiotensin ii receptor blockers (arbs), other combinations
DB01000	Cyclacillin	J01CR50	antiinfectives for systemic use;antibacterials for systemic use;beta-lactam antibacterials, penicillins;combinations of penicillins, incl. beta-lactamase inhibitors	antiinfectives for systemic use	antibacterials for systemic use	beta-lactam antibacterials, penicillins	combinations of penicillins, incl. beta-lactamase inhibitors
DB01001	Salbutamol	R03AK04	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics
DB01001	Salbutamol	R03AC02	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;selective beta-2-adrenoreceptor agonists	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	selective beta-2-adrenoreceptor agonists
DB01001	Salbutamol	R03CC02	respiratory system;drugs for obstructive airway diseases;adrenergics for systemic use;selective beta-2-adrenoreceptor agonists	respiratory system	drugs for obstructive airway diseases	adrenergics for systemic use	selective beta-2-adrenoreceptor agonists
DB01001	Salbutamol	R03AK13	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics
DB01001	Salbutamol	R03AL02	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
DB01002	Levobupivacaine	N01BB10	nervous system;anesthetics;anesthetics, local;amides	nervous system	anesthetics	anesthetics, local	amides
DB01003	Cromoglicic acid	R03AK05	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics
DB01003	Cromoglicic acid	R03AK04	respiratory system;drugs for obstructive airway diseases;adrenergics, inhalants;adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics	respiratory system	drugs for obstructive airway diseases	adrenergics, inhalants	adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics
DB01003	Cromoglicic acid	R03BC01	respiratory system;drugs for obstructive airway diseases;other drugs for obstructive airway diseases, inhalants;antiallergic agents, excl. corticosteroids	respiratory system	drugs for obstructive airway diseases	other drugs for obstructive airway diseases, inhalants	antiallergic agents, excl. corticosteroids
DB01003	Cromoglicic acid	R01AC51	respiratory system;nasal preparations;decongestants and other nasal preparations for topical use;antiallergic agents, excl. corticosteroids	respiratory system	nasal preparations	decongestants and other nasal preparations for topical use	antiallergic agents, excl. corticosteroids
DB01003	Cromoglicic acid	S01GX51	sensory organs;ophthalmologicals;decongestants and antiallergics;other antiallergics	sensory organs	ophthalmologicals	decongestants and antiallergics	other antiallergics
DB01003	Cromoglicic acid	R01AC01	respiratory system;nasal preparations;decongestants and other nasal preparations for topical use;antiallergic agents, excl. corticosteroids	respiratory system	nasal preparations	decongestants and other nasal preparations for topical use	antiallergic agents, excl. corticosteroids
DB01003	Cromoglicic acid	S01GX01	sensory organs;ophthalmologicals;decongestants and antiallergics;other antiallergics	sensory organs	ophthalmologicals	decongestants and antiallergics	other antiallergics
DB01003	Cromoglicic acid	D11AH03	dermatologicals;other dermatological preparations;other dermatological preparations;agents for dermatitis, excluding corticosteroids	dermatologicals	other dermatological preparations	other dermatological preparations	agents for dermatitis, excluding corticosteroids
DB01003	Cromoglicic acid	A07EB01	alimentary tract and metabolism;antidiarrheals, intestinal antiinflammatory/antiinfective agents;intestinal antiinflammatory agents;antiallergic agents, excl. corticosteroids	alimentary tract and metabolism	antidiarrheals, intestinal antiinflammatory/antiinfective agents	intestinal antiinflammatory agents	antiallergic agents, excl. corticosteroids
DB01004	Ganciclovir	J05AB06	antiinfectives for systemic use;antivirals for systemic use;direct acting antivirals;nucleosides and nucleotides excl. reverse transcriptase inhibitors	antiinfectives for systemic use	antivirals for systemic use	direct acting antivirals	nucleosides and nucleotides excl. reverse transcriptase inhibitors
DB01004	Ganciclovir	S01AD09	sensory organs;ophthalmologicals;antiinfectives;antivirals	sensory organs	ophthalmologicals	antiinfectives	antivirals
DB01005	Hydroxyurea	L01XX05	antineoplastic and immunomodulating agents;antineoplastic agents;other antineoplastic agents;other antineoplastic agents	antineoplastic and immunomodulating agents	antineoplastic agents	other antineoplastic agents	other antineoplastic agents
DB01006	Letrozole	L02BG04	antineoplastic and immunomodulating agents;endocrine therapy;hormone antagonists and related agents;aromatase inhibitors	antineoplastic and immunomodulating agents	endocrine therapy	hormone antagonists and related agents	aromatase inhibitors
DB01007	Tioconazole	G01AF20	genito urinary system and sex hormones;gynecological antiinfectives and antiseptics;antiinfectives and antiseptics, excl. combinations with corticosteroids;imidazole derivatives	genito urinary system and sex hormones	gynecological antiinfectives and antiseptics	antiinfectives and antiseptics, excl. combinations with corticosteroids	imidazole derivatives
DB01007	Tioconazole	D01AC07	dermatologicals;antifungals for dermatological use;antifungals for topical use;imidazole and triazole derivatives	dermatologicals	antifungals for dermatological use	antifungals for topical use	imidazole and triazole derivatives
DB01007	Tioconazole	G01AF08	genito urinary system and sex hormones;gynecological antiinfectives and antiseptics;antiinfectives and antiseptics, excl. combinations with corticosteroids;imidazole derivatives	genito urinary system and sex hormones	gynecological antiinfectives and antiseptics	antiinfectives and antiseptics, excl. combinations with corticosteroids	imidazole derivatives
DB01008	Busulfan	L01AB01	antineoplastic and immunomodulating agents;antineoplastic agents;alkylating agents;alkyl sulfonates	antineoplastic and immunomodulating agents	antineoplastic agents	alkylating agents	alkyl sulfonates
DB01009	Ketoprofen	M01AE03	musculo-skeletal system;antiinflammatory and antirheumatic products;antiinflammatory and antirheumatic products, non-steroids;propionic acid derivatives	musculo-skeletal system	antiinflammatory and antirheumatic products	antiinflammatory and antirheumatic products, non-steroids	propionic acid derivatives
DB01009	Ketoprofen	M02AA10	musculo-skeletal system;topical products for joint and muscular pain;topical products for joint and muscular pain;antiinflammatory preparations, non-steroids for topical use	musculo-skeletal system	topical products for joint and muscular pain	topical products for joint and muscular pain	antiinflammatory preparations, non-steroids for topical use
DB01009	Ketoprofen	M01AE53	musculo-skeletal system;antiinflammatory and antirheumatic products;antiinflammatory and antirheumatic products, non-steroids;propionic acid derivatives	musculo-skeletal system	antiinflammatory and antirheumatic products	antiinflammatory and antirheumatic products, non-steroids	propionic acid derivatives
DB01010	Edrophonium	V04CX07	various;diagnostic agents;other diagnostic agents;other diagnostic agents	various	diagnostic agents	other diagnostic agents	other diagnostic agents
DB01011	Metyrapone	V04CD01	various;diagnostic agents;other diagnostic agents;tests for pituitary function	various	diagnostic agents	other diagnostic agents	tests for pituitary function
DB01012	Cinacalcet	H05BX01	systemic hormonal preparations, excl. sex hormones and insulins;calcium homeostasis;anti-parathyroid agents;other anti-parathyroid agents	systemic hormonal preparations, excl. sex hormones and insulins	calcium homeostasis	anti-parathyroid agents	other anti-parathyroid agents
DB01013	Clobetasol propionate	NA	NA	NA	NA	NA	NA
DB01014	Balsalazide	A07EC04	alimentary tract and metabolism;antidiarrheals, intestinal antiinflammatory/antiinfective agents;intestinal antiinflammatory agents;aminosalicylic acid and similar agents	alimentary tract and metabolism	antidiarrheals, intestinal antiinflammatory/antiinfective agents	intestinal antiinflammatory agents	aminosalicylic acid and similar agents
DB01015	Sulfamethoxazole	J04AM08	antiinfectives for systemic use;antimycobacterials;drugs for treatment of tuberculosis;combinations of drugs for treatment of tuberculosis	antiinfectives for systemic use	antimycobacterials	drugs for treatment of tuberculosis	combinations of drugs for treatment of tuberculosis
DB01015	Sulfamethoxazole	J01EE01	antiinfectives for systemic use;antibacterials for systemic use;sulfonamides and trimethoprim;combinations of sulfonamides and trimethoprim, incl. derivatives	antiinfectives for systemic use	antibacterials for systemic use	sulfonamides and trimethoprim	combinations of sulfonamides and trimethoprim, incl. derivatives
DB01015	Sulfamethoxazole	G01AE10	genito urinary system and sex hormones;gynecological antiinfectives and antiseptics;antiinfectives and antiseptics, excl. combinations with corticosteroids;sulfonamides	genito urinary system and sex hormones	gynecological antiinfectives and antiseptics	antiinfectives and antiseptics, excl. combinations with corticosteroids	sulfonamides
DB01015	Sulfamethoxazole	J01EC01	antiinfectives for systemic use;antibacterials for systemic use;sulfonamides and trimethoprim;intermediate-acting sulfonamides	antiinfectives for systemic use	antibacterials for systemic use	sulfonamides and trimethoprim	intermediate-acting sulfonamides
DB01016	Glyburide	A10BB01	alimentary tract and metabolism;drugs used in diabetes;blood glucose lowering drugs, excl. insulins;sulfonylureas	alimentary tract and metabolism	drugs used in diabetes	blood glucose lowering drugs, excl. insulins	sulfonylureas
DB01017	Minocycline	J01AA08	antiinfectives for systemic use;antibacterials for systemic use;tetracyclines;tetracyclines	antiinfectives for systemic use	antibacterials for systemic use	tetracyclines	tetracyclines
DB01017	Minocycline	J01AA20	antiinfectives for systemic use;antibacterials for systemic use;tetracyclines;tetracyclines	antiinfectives for systemic use	antibacterials for systemic use	tetracyclines	tetracyclines
DB01017	Minocycline	A01AB23	alimentary tract and metabolism;stomatological preparations;stomatological preparations;antiinfectives and antiseptics for local oral treatment	alimentary tract and metabolism	stomatological preparations	stomatological preparations	antiinfectives and antiseptics for local oral treatment
DB01018	Guanfacine	C02AC02	cardiovascular system;antihypertensives;antiadrenergic agents, centrally acting;imidazoline receptor agonists	cardiovascular system	antihypertensives	antiadrenergic agents, centrally acting	imidazoline receptor agonists
DB01019	Bethanechol	N07AB02	nervous system;other nervous system drugs;parasympathomimetics;choline esters	nervous system	other nervous system drugs	parasympathomimetics	choline esters
DB01020	Isosorbide mononitrate	C01DA14	cardiovascular system;cardiac therapy;vasodilators used in cardiac diseases;organic nitrates	cardiovascular system	cardiac therapy	vasodilators used in cardiac diseases	organic nitrates
DB01021	Trichlormethiazide	G01AE10	genito urinary system and sex hormones;gynecological antiinfectives and antiseptics;antiinfectives and antiseptics, excl. combinations with corticosteroids;sulfonamides	genito urinary system and sex hormones	gynecological antiinfectives and antiseptics	antiinfectives and antiseptics, excl. combinations with corticosteroids	sulfonamides
DB01021	Trichlormethiazide	C03AA06	cardiovascular system;diuretics;low-ceiling diuretics, thiazides;thiazides, plain	cardiovascular system	diuretics	low-ceiling diuretics, thiazides	thiazides, plain
DB01021	Trichlormethiazide	C03EA02	cardiovascular system;diuretics;diuretics and potassium-sparing agents in combination;low-ceiling diuretics and potassium-sparing agents	cardiovascular system	diuretics	diuretics and potassium-sparing agents in combination	low-ceiling diuretics and potassium-sparing agents
DB01021	Trichlormethiazide	C03AB06	cardiovascular system;diuretics;low-ceiling diuretics, thiazides;thiazides and potassium in combination	cardiovascular system	diuretics	low-ceiling diuretics, thiazides	thiazides and potassium in combination
DB01022	Phylloquinone	B02BA01	blood and blood forming organs;antihemorrhagics;vitamin k and other hemostatics;vitamin k	blood and blood forming organs	antihemorrhagics	vitamin k and other hemostatics	vitamin k
DB01023	Felodipine	C07FB02	cardiovascular system;beta blocking agents;beta blocking agents, other combinations;beta blocking agents and calcium channel blockers	cardiovascular system	beta blocking agents	beta blocking agents, other combinations	beta blocking agents and calcium channel blockers
DB01023	Felodipine	C08CA02	cardiovascular system;calcium channel blockers;selective calcium channel blockers with mainly vascular effects;dihydropyridine derivatives	cardiovascular system	calcium channel blockers	selective calcium channel blockers with mainly vascular effects	dihydropyridine derivatives
DB01023	Felodipine	C09BB05	cardiovascular system;agents acting on the renin-angiotensin system;ace inhibitors, combinations;ace inhibitors and calcium channel blockers	cardiovascular system	agents acting on the renin-angiotensin system	ace inhibitors, combinations	ace inhibitors and calcium channel blockers
DB01024	Mycophenolic acid	L04AA06	antineoplastic and immunomodulating agents;immunosuppressants;immunosuppressants;selective immunosuppressants	antineoplastic and immunomodulating agents	immunosuppressants	immunosuppressants	selective immunosuppressants
DB01025	Amlexanox	A01AD07	alimentary tract and metabolism;stomatological preparations;stomatological preparations;other agents for local oral treatment	alimentary tract and metabolism	stomatological preparations	stomatological preparations	other agents for local oral treatment
DB01025	Amlexanox	R03DX01	respiratory system;drugs for obstructive airway diseases;other systemic drugs for obstructive airway diseases;other systemic drugs for obstructive airway diseases	respiratory system	drugs for obstructive airway diseases	other systemic drugs for obstructive airway diseases	other systemic drugs for obstructive airway diseases
DB01026	Ketoconazole	G01AF11	genito urinary system and sex hormones;gynecological antiinfectives and antiseptics;antiinfectives and antiseptics, excl. combinations with corticosteroids;imidazole derivatives	genito urinary system and sex hormones	gynecological antiinfectives and antiseptics	antiinfectives and antiseptics, excl. combinations with corticosteroids	imidazole derivatives
DB01026	Ketoconazole	G01AF20	genito urinary system and sex hormones;gynecological antiinfectives and antiseptics;antiinfectives and antiseptics, excl. combinations with corticosteroids;imidazole derivatives	genito urinary system and sex hormones	gynecological antiinfectives and antiseptics	antiinfectives and antiseptics, excl. combinations with corticosteroids	imidazole derivatives
DB01026	Ketoconazole	J02AB02	antiinfectives for systemic use;antimycotics for systemic use;antimycotics for systemic use;imidazole derivatives	antiinfectives for systemic use	antimycotics for systemic use	antimycotics for systemic use	imidazole derivatives
DB01026	Ketoconazole	D01AC08	dermatologicals;antifungals for dermatological use;antifungals for topical use;imidazole and triazole derivatives	dermatologicals	antifungals for dermatological use	antifungals for topical use	imidazole and triazole derivatives
DB01028	Methoxyflurane	N02BG09	nervous system;analgesics;other analgesics and antipyretics;other analgesics and antipyretics	nervous system	analgesics	other analgesics and antipyretics	other analgesics and antipyretics
DB01029	Irbesartan	C09CA04	cardiovascular system;agents acting on the renin-angiotensin system;angiotensin ii receptor blockers (arbs), plain;angiotensin ii receptor blockers (arbs), plain	cardiovascular system	agents acting on the renin-angiotensin system	angiotensin ii receptor blockers (arbs), plain	angiotensin ii receptor blockers (arbs), plain
DB01029	Irbesartan	C09DB05	cardiovascular system;agents acting on the renin-angiotensin system;angiotensin ii receptor blockers (arbs), combinations;angiotensin ii receptor blockers (arbs) and calcium channel blockers	cardiovascular system	agents acting on the renin-angiotensin system	angiotensin ii receptor blockers (arbs), combinations	angiotensin ii receptor blockers (arbs) and calcium channel blockers
DB01029	Irbesartan	C09DA04	cardiovascular system;agents acting on the renin-angiotensin system;angiotensin ii receptor blockers (arbs), combinations;angiotensin ii receptor blockers (arbs) and diuretics	cardiovascular system	agents acting on the renin-angiotensin system	angiotensin ii receptor blockers (arbs), combinations	angiotensin ii receptor blockers (arbs) and diuretics
